Design,Comp,X,Y,Rot
183,R2309,426,205,90
190,R2309,429,205,90
196,R2309,432,205,90
202,R2309,436,205,90
208,R2309,440,205,90
214,R2309,443,205,90
220,R2309,446,205,90
226,R2309,450,205,90
232,R2309,454,205,90
4,C0805,324,211,90
14,C0805,328,211,90
20,C0805,331,211,90
26,C0805,334,211,90
32,C0805,338,211,90
38,C0805,342,211,90
44,C0805,345,211,90
50,C0805,348,211,90
56,C0805,352,211,90
62,C0805,356,211,90
68,C0805,359,211,90
74,C0805,362,211,90
80,C0805,366,211,90
86,C0805,370,211,90
92,C0805,373,211,90
98,C0805,376,211,90
104,C0805,380,211,90
110,C0805,384,211,90
116,C0805,387,211,90
122,C0805,390,211,90
128,C0805,394,211,90
134,C0805,398,211,90
140,C0805,401,211,90
146,C0805,404,211,90
152,C0805,408,211,90
158,C0805,412,211,90
164,C0805,415,211,90
170,C0805,418,211,90
176,C0805,422,211,90
182,C0805,426,211,90
189,C0805,429,211,90
195,C0805,432,211,90
201,C0805,436,211,90
207,C0805,440,211,90
213,C0805,443,211,90
219,C0805,446,211,90
225,C0805,450,211,90
231,C0805,454,211,90
5,SOT23,324,217,0
11,SOT23,328,217,0
17,SOT23,331,217,0
23,SOT23,334,217,0
29,SOT23,338,217,0
35,SOT23,342,217,0
41,SOT23,345,217,0
47,SOT23,348,217,0
53,SOT23,352,217,0
59,SOT23,356,217,0
65,SOT23,359,217,0
71,SOT23,362,217,0
77,SOT23,366,217,0
83,SOT23,370,217,0
89,SOT23,373,217,0
95,SOT23,376,217,0
101,SOT23,380,217,0
107,SOT23,384,217,0
113,SOT23,387,217,0
119,SOT23,390,217,0
125,SOT23,394,217,0
131,SOT23,398,217,0
137,SOT23,401,217,0
143,SOT23,404,217,0
149,SOT23,408,217,0
155,SOT23,412,217,0
161,SOT23,415,217,0
167,SOT23,418,217,0
173,SOT23,422,217,0
179,SOT23,426,217,0
185,SOT23,429,217,0
192,SOT23,432,217,0
198,SOT23,436,217,0
204,SOT23,440,217,0
210,SOT23,443,217,0
216,SOT23,446,217,0
222,SOT23,450,217,0
228,SOT23,454,217,0
6,SOD-80,324,223,90
7,SOD-80,328,223,90
16,SOD-80,331,223,90
22,SOD-80,334,223,90
28,SOD-80,338,223,90
34,SOD-80,342,223,90
40,SOD-80,345,223,90
46,SOD-80,348,223,90
52,SOD-80,352,223,90
58,SOD-80,356,223,90
64,SOD-80,359,223,90
70,SOD-80,362,223,90
76,SOD-80,366,223,90
82,SOD-80,370,223,90
88,SOD-80,373,223,90
94,SOD-80,376,223,90
100,SOD-80,380,223,90
106,SOD-80,384,223,90
112,SOD-80,387,223,90
118,SOD-80,390,223,90
124,SOD-80,394,223,90
130,SOD-80,398,223,90
136,SOD-80,401,223,90
142,SOD-80,404,223,90
148,SOD-80,408,223,90
154,SOD-80,412,223,90
160,SOD-80,415,223,90
166,SOD-80,418,223,90
172,SOD-80,422,223,90
178,SOD-80,426,223,90
184,SOD-80,429,223,90
191,SOD-80,432,223,90
197,SOD-80,436,223,90
203,SOD-80,440,223,90
209,SOD-80,443,223,90
215,SOD-80,446,223,90
221,SOD-80,450,223,90
227,SOD-80,454,223,90
236,SO28M1,377,235,0
254,SO28M1,397,235,0
255,SO28M1,417,235,0
256,SO28M1,437,235,0
234,SO14M1,372,246,0
247,SO14M1,382,246,0
248,SO14M1,392,246,0
249,SO14M1,402,246,0
250,SO14M1,412,246,0
251,SO14M1,422,246,0
252,SO14M1,432,246,0
253,SO14M1,442,246,0
233,SO8M1,370,256,0
235,SO8M1,377,256,0
237,SO8M1,384,256,0
238,SO8M1,391,256,0
239,SO8M1,398,256,0
240,SO8M1,405,256,0
241,SO8M1,412,256,0
242,SO8M1,419,256,0
243,SO8M1,426,256,0
244,SO8M1,433,256,0
245,SO8M1,440,256,0
246,SO8M1,447,256,0
10,PLCC28SQ,339,246,0
9,PLCC44,339,246,0
8,PLCC84,339,246,0
fid1a,circle,312,188,0
fid2a,circle,461,259,0
